date,equity,cash,positions
2026-06-03,101390.45,-6044.10,AMD:4.084203002;ARM:5.150764242;DELL:4.494;DIA:13.057301257;INTC:18.641219239;MRVL:9.930628662;QQQ:9.040050996;SPY:8.817231754;VOO:54.704106462;VTI:102.203664267
2026-06-04,100186.27,12902.60,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:54.704106462;VTI:102.203664267
2026-06-05,100701.31,12902.60,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:54.704106462;VTI:102.203664267
2026-06-06,97794.38,4903.70,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-09,99425.72,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-10,96683.35,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-11,96683.84,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-12,99102.35,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-13,99270.15,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-16,101168.07,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-17,100804.75,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-18,100913.82,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-19,101288.40,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-20,101288.40,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-23,98944.16,4903.69,AMD:4.084203002;ARM:5.150764242;DELL:4.494;MRVL:9.930628662;MU:3;VOO:60.61188808;VTI:113.225380032
2026-06-24,99919.06,35911.60,AMAT:15;ARM:5.150764242;DELL:4.494;HOOD:90;LRCX:23;MRVL:9.930628662;MU:3;SNOW:42;STX:8;WDC:13
